StudentID,LastName,FirstName,CumGPA,BcpmGPA,MMICalc,RosterYear,GraduationYear,Graduated,GraduationLength,Status
738,,,3.28,,0.79,2016,2020,True,4.0,Grad
717,,,3.62,,0.81,2016,2020,True,4.0,Grad
466,,,3.8,,0.82,2016,2020,True,4.0,Grad
919,,,3.07,,0.83,2016,2020,True,4.0,Grad
621,,,2.38,,0.83,2016,2020,True,4.0,Grad
146,,,3.98,,0.72,2016,2020,True,4.0,Grad
690,,,3.45,,,2016,,False,,Drop
437,,,3.99,,0.76,2016,2020,True,4.0,Grad
797,,,3.1,,0.77,2016,2020,True,4.0,Grad
321,,,3.86,,,2016,2020,True,4.0,Grad
239,,,4.0,,0.76,2016,2020,True,4.0,Grad
856,,,3.3,,0.8,2016,2020,True,4.0,Grad
570,,,2.82,,0.8,2016,2021,True,5.0,Grad Delayed (enrich)
625,,,3.17,,0.81,2016,2020,True,4.0,Grad
838,,,4.0,,0.64,2016,2021,True,5.0,Grad Delayed (enrich)
163,,,3.96,,,2016,2020,True,4.0,Grad
518,,,3.84,,0.89,2016,2020,True,4.0,Grad
278,,,3.28,,0.81,2016,2020,True,4.0,Grad
482,,,3.73,,0.87,2016,2020,True,4.0,Grad
441,,,4.0,,,2016,2020,True,4.0,Grad
648,,,3.25,,0.77,2016,2020,True,4.0,Grad
615,,,3.8,,0.89,2016,2020,True,4.0,Grad
718,,,3.65,,0.84,2016,2020,True,4.0,Grad
285,,,3.65,,0.76,2016,2020,True,4.0,Grad
161,,,3.73,,0.68,2016,2020,True,4.0,Grad
380,,,3.37,,0.87,2016,2020,True,4.0,Grad
725,,,3.37,,0.77,2016,2020,True,4.0,Grad
513,,,3.65,,0.75,2016,2021,True,5.0,Grad Delayed (enrich)
339,,,3.87,,0.69,2016,2020,True,4.0,Grad
318,,,3.62,,0.65,2016,2020,True,4.0,Grad
826,,,3.4,,0.86,2016,2020,True,4.0,Grad
777,,,3.44,,0.69,2016,2020,True,4.0,Grad
188,,,4.0,,0.82,2016,2020,True,4.0,Grad
590,,,3.61,,0.78,2016,2020,True,4.0,Grad
107,,,3.67,,0.76,2016,2021,True,5.0,Grad Delayed
367,,,3.88,,0.81,2016,2021,True,5.0,Grad Delayed (enrich)
617,,,3.45,,0.72,2016,2022,True,6.0,Grad Delayed
294,,,3.78,,0.71,2016,2021,True,5.0,Grad Delayed
585,,,4.0,,,2016,2020,True,4.0,Grad
207,,,3.98,,0.69,2016,2020,True,4.0,Grad
215,,,3.7,,,2016,2020,True,4.0,Grad
428,,,3.78,,0.81,2016,2020,True,4.0,Grad
765,,,3.72,,0.68,2016,2020,True,4.0,Grad
701,,,3.53,,0.74,2016,2020,True,4.0,Grad
293,,,3.75,,,2016,2020,True,4.0,Grad
404,,,3.35,,0.75,2016,2020,True,4.0,Grad
488,,,3.6,,0.72,2016,2020,True,4.0,Grad
692,,,3.64,,0.69,2016,2020,True,4.0,Grad
909,,,3.85,,0.82,2016,2020,True,4.0,Grad
438,,,3.95,,0.76,2016,2020,True,4.0,Grad
915,,,2.97,,0.68,2016,2020,True,4.0,Grad
907,,,3.9,,0.88,2016,2020,True,4.0,Grad
561,,,3.64,,0.71,2016,2020,True,4.0,Grad
355,,,3.56,,0.72,2016,2020,True,4.0,Grad
782,,,2.87,,0.81,2016,2021,True,5.0,Grad Delayed
875,,,3.67,,0.68,2016,2020,True,4.0,Grad
202,,,3.83,,0.87,2016,2020,True,4.0,Grad
847,,,3.55,,0.63,2017,2021,True,4.0,Grad
796,,,3.43,,0.85,2017,2021,True,4.0,Grad
899,,,3.87,,0.85,2017,2021,True,4.0,Grad
705,,,3.73,,0.84,2017,2021,True,4.0,Grad
247,,,3.88,,0.75,2017,2021,True,4.0,Grad
334,,,3.54,,0.84,2017,,False,,Drop
639,,,3.3,,0.83,2017,2021,True,4.0,Grad
143,,,2.83,,0.7,2017,,False,,Drop
199,,,3.82,,0.78,2017,2021,True,4.0,Grad
700,,,3.86,,0.74,2017,2021,True,4.0,Grad
892,,,3.39,,0.89,2017,2022,True,5.0,Grad Delayed (enrich)
887,,,3.44,,0.85,2017,2021,True,4.0,Grad
658,,,3.13,,0.7,2017,2022,True,5.0,Grad Delayed (enrich)
565,,,3.71,,0.77,2017,2022,True,5.0,Grad Delayed
926,,,3.19,,0.78,2017,,False,,Drop
602,,,3.51,,0.72,2017,2021,True,4.0,Grad
800,,,3.37,,0.74,2017,2022,True,5.0,Grad Delayed
436,,,3.96,,0.75,2017,2021,True,4.0,Grad
335,,,3.66,,0.82,2017,2021,True,4.0,Grad
452,,,3.93,,0.83,2017,2021,True,4.0,Grad
216,,,3.54,,0.86,2017,,False,,Drop
104,,,3.84,,0.66,2017,2022,True,5.0,Grad Delayed
230,,,3.03,,0.68,2017,2021,True,4.0,Grad
254,,,4.0,,0.9,2017,2021,True,4.0,Grad
733,,,3.43,,0.7,2017,2021,True,4.0,Grad
458,,,3.07,,,2017,2021,True,4.0,Grad
795,,,3.75,,0.83,2017,2021,True,4.0,Grad
297,,,3.59,,0.82,2017,2021,True,4.0,Grad
493,,,2.57,,0.92,2017,2021,True,4.0,Grad
343,,,3.75,,0.75,2017,2021,True,4.0,Grad
772,,,2.82,,0.86,2017,2023,True,6.0,Grad Delayed
287,,,3.77,,0.74,2017,2022,True,5.0,Grad Delayed
465,,,3.89,,0.68,2017,2021,True,4.0,Grad
529,,,3.61,,0.88,2017,2021,True,4.0,Grad
908,,,3.31,,0.93,2017,2021,True,4.0,Grad
829,,,3.7,,0.77,2017,2021,True,4.0,Grad
256,,,3.56,,0.68,2017,2021,True,4.0,Grad
324,,,4.0,,0.7,2017,2021,True,4.0,Grad
758,,,3.4,,0.83,2017,2021,True,4.0,Grad
280,,,3.89,,0.72,2017,2021,True,4.0,Grad
645,,,3.52,,0.88,2017,2021,True,4.0,Grad
603,,,3.98,,0.83,2017,2021,True,4.0,Grad
368,,,3.56,,0.68,2017,2021,True,4.0,Grad
569,,,3.0,,0.66,2017,2021,True,4.0,Grad
512,,,3.27,,0.9,2017,2022,True,5.0,Grad Delayed (enrich)
462,,,3.18,,,2017,2021,True,4.0,Grad
680,,,3.84,,0.78,2017,2021,True,4.0,Grad
831,,,3.75,,0.57,2017,2021,True,4.0,Grad
576,,,3.72,,0.76,2017,2022,True,5.0,Grad Delayed
123,,,3.58,,0.7,2017,2021,True,4.0,Grad
283,,,3.45,,0.79,2017,2021,True,4.0,Grad
105,,,4.0,,0.86,2017,2021,True,4.0,Grad
347,,,3.25,,,2017,2022,True,5.0,Grad Delayed (enrich)
677,,,3.95,,0.81,2017,2021,True,4.0,Grad
574,,,3.21,,0.69,2017,2021,True,4.0,Grad
925,,,4.0,,0.78,2017,2021,True,4.0,Grad
255,,,3.81,,0.83,2017,2021,True,4.0,Grad
687,,,3.73,,0.78,2017,2022,True,5.0,Grad Delayed (enrich)
429,,,3.83,,0.59,2017,2023,True,6.0,Grad Delayed
289,,,3.64,,0.74,2017,2021,True,4.0,Grad
713,,,3.79,,0.91,2017,2021,True,4.0,Grad
869,,,3.46,,0.93,2017,2021,True,4.0,Grad
510,,,3.23,,0.86,2017,2021,True,4.0,Grad
200,,,2.69,,0.75,2017,2021,True,4.0,Grad
492,,,3.62,,0.83,2017,2021,True,4.0,Grad
610,,,3.99,,0.85,2017,2021,True,4.0,Grad
753,,,3.42,,0.73,2017,2021,True,4.0,Grad
261,,,3.92,,0.84,2017,2021,True,4.0,Grad
309,,,3.95,,0.79,2017,,False,,Drop
183,,,3.91,,0.7,2017,2021,True,4.0,Grad
575,,,3.67,,0.87,2018,2022,True,4.0,Grad
775,,,3.7,,0.89,2018,2022,True,4.0,Grad
636,,,3.7,,0.74,2018,2022,True,4.0,Grad
885,,,3.88,,0.92,2018,2022,True,4.0,Grad
620,,,4.0,,0.7,2018,2022,True,4.0,Grad
788,,,3.78,,0.76,2018,,False,,Delayed
346,,,3.59,,0.83,2018,2023,True,5.0,Grad Delayed
394,,,3.93,,0.83,2018,2022,True,4.0,Grad
251,,,3.86,,0.76,2018,2022,True,4.0,Grad
842,,,4.0,,0.78,2018,,False,,Drop
369,,,3.85,,0.86,2018,2022,True,4.0,Grad
279,,,3.69,,0.84,2018,2022,True,4.0,Grad
803,,,3.98,,0.89,2018,2022,True,4.0,Grad
649,,,3.98,,0.81,2018,2022,True,4.0,Grad
740,,,3.6,,0.78,2018,2022,True,4.0,Grad
301,,,3.21,,0.72,2018,2022,True,4.0,Grad
303,,,3.13,,0.83,2018,2022,True,4.0,Grad
647,,,3.92,,0.84,2018,2022,True,4.0,Grad
536,,,3.68,,0.95,2018,2022,True,4.0,Grad
132,,,3.55,,0.79,2018,2022,True,4.0,Grad
306,,,3.67,,0.79,2018,,False,,Drop
244,,,4.0,,0.73,2018,2022,True,4.0,Grad
624,,,3.62,,0.78,2018,2022,True,4.0,Grad
756,,,3.81,,0.72,2018,2022,True,4.0,Grad
500,,,3.7,,0.85,2018,2022,True,4.0,Grad
208,,,4.0,,0.87,2018,2023,True,5.0,Grad Delayed
556,,,3.69,,0.9,2018,2022,True,4.0,Grad
338,,,3.88,,0.84,2018,2022,True,4.0,Grad
737,,,3.59,,0.71,2018,2022,True,4.0,Grad
387,,,3.01,,0.88,2018,2022,True,4.0,Grad
398,,,2.95,,0.78,2018,2022,True,4.0,Grad
580,,,3.84,,0.73,2018,2022,True,4.0,Grad
834,,,3.66,,0.86,2018,2022,True,4.0,Grad
189,,,3.87,,0.8,2018,2022,True,4.0,Grad
681,,,3.96,,0.9,2018,2022,True,4.0,Grad
403,,,3.76,,0.77,2018,2022,True,4.0,Grad
688,,,3.72,,0.88,2018,2023,True,5.0,Grad Delayed
281,,,3.76,,0.8,2018,2022,True,4.0,Grad
257,,,3.69,,0.84,2018,2022,True,4.0,Grad
702,,,3.19,,0.73,2018,,False,,Drop
933,,,3.56,,0.82,2018,2022,True,4.0,Grad
374,,,3.78,,0.74,2018,2022,True,4.0,Grad
557,,,2.75,,,2018,2022,True,4.0,Grad
917,,,3.48,,0.8,2018,2022,True,4.0,Grad
792,,,3.61,,0.87,2018,2022,True,4.0,Grad
668,,,3.89,,0.86,2018,2022,True,4.0,Grad
162,,,3.99,,0.79,2018,2022,True,4.0,Grad
224,,,3.84,,0.7,2018,2022,True,4.0,Grad
924,,,2.97,,0.92,2018,2022,True,4.0,Grad
843,,,3.74,,0.84,2018,2022,True,4.0,Grad
637,,,3.33,,0.9,2018,2022,True,4.0,Grad
160,,,2.71,,0.74,2018,2023,True,5.0,Grad Delayed (enrich)
801,,,3.81,,0.83,2018,2022,True,4.0,Grad
159,,,3.81,,0.86,2018,2022,True,4.0,Grad
613,,,3.85,,0.82,2018,,False,,Drop
205,,,4.0,,0.77,2018,2022,True,4.0,Grad
100,,,3.74,,0.86,2018,2022,True,4.0,Grad
785,,,3.98,,,2018,2022,True,4.0,Grad
474,,,3.87,,0.86,2018,2022,True,4.0,Grad
547,,,3.76,,0.89,2018,2022,True,4.0,Grad
354,,,3.73,,0.68,2018,2022,True,4.0,Grad
596,,,3.07,,0.95,2018,2022,True,4.0,Grad
249,,,2.98,,0.78,2018,2022,True,4.0,Grad
755,,,3.78,,0.9,2018,2022,True,4.0,Grad
903,,,3.3,,0.86,2018,2022,True,4.0,Grad
846,,,3.08,,0.72,2018,2022,True,4.0,Grad
